hashtags,user_favorites
Texas,155148
Texas,115950
TexasBlackout,2486
"Rivals,22EFFECT,AllGasNoBrakes,HookEm",15
Texas,47383
Texas,24827
Texas,1144
Texas,306729
TexasFreeze,18286
SmartNews,169962
BREAKING,305530
SmartNews,66021
Texas,130944
Texas,21031
Texas,78438
AnnRichards,187892
SmartNews,66021
Texas,14065
Texas,78439
Texas,3898
FocusOnThePositive,9408
CanIGetAnAmen,9408
Texas,3435
Texas,3435
TexasFreeze,439
AnnRichards,181412
Texas,23294
Texas,19614
Texas,11082
texas,10611
TexasBlackout,103729
Texas,35896
Texas,1144
TexasStrong,23571
Texas,359641
TexasFreeze,115341
Texas,1345
Texas,353948
Texas,52314
Texas,2382
TexasStrong,6382
txlege,436595
Texas,221109
Texas,2337
SmartNews,199361
Texas,347578
TexasBlackout,1619
Texas,53850
Texas,1849
txlege,16285
TexasFreeze,10
NatGas,2750
renewable,2750
txwx,5876
TexasStrong,130821
TexasStrong,130824
Texas,1144
Texas,1144
TexasBlackout,313690
Texas,1144
TexasStrong,41962
TexasBlackout,17837
TexasBlackout,53972
Texas,9570
Texas,1144
Texas,5556
TexasBlackout,5
Texas,38044
Texas,797
TexasStrong,130823
Texas,347590
TexasBlackout,15651
SmartNews,10656
TexasFreeze,38845
Texas,4176
TexasStrong,130823
SmartNews,10656
Texas,8502
Texas,4997
TDS,40377
TexasWinterStorm2021,5940
TexasBlackout,100897
TexasBlackout,8148
Texas,2043
Texas,527
Texas,59008
Texas,45960
txlege,1677
txlege,16286
TexasStrong,130831
Texas,2740
TexasBlackout,24773
TexasStrong,78558
Texas,211236
Texas,1144
TexasFreeze,57969
Texas,53933
TedCruzIsATraitor,17248
TedCruzFailedTexas,17248
TedCruzRESIGN,17248
Texas,28847
Texas,102448
txlege,5603
TexasWinterStorm2021,235843
SmartNews,46571
Texas,32633
TexasFreeze,533
txlege,152120
txlege,69645
TexasBlackout,62789
ClubCar,5791
Texas,5791
Georgetown,5791
Texas,1144
txlege,1359802
txlege,10569
txlege,29601
Texas,322690
Texas,1144
txlege,152123
Texas,2168
TexasFreeze,11946
Texas,884
txlege,4225
Texas,17573
Chihuahua,386
Texas,386
gasolina,386
Entérate,386
TexasBlackout,4631
Texas,1144
TexasBlackout,9082
Texas,11351
TexasStrong,58539
Texas,1144
"Rivals,22EFFECT,AllGasNoBrakes,HookEm",15
Texas,37
TexasFreeze,1035
txlege,45481
TexasStrong,130844
Texas,59026
Texas,89072
Texas,16443
Texas,111
Texas,699470
Texas,221459
TexasFreeze,61903
Texas,8717
TexasWinterStorm2021,31017
TexasFreeze,9639
TexasFreeze,4851
TexasFreeze,533
Texas,93690
techtwitter,142
BlackTechTwitter,142
techtwitter,94
BlackTechTwitter,94
Texas,1144
Texas,126673
TexasStrong,6364
Texas,16011
txlege,36686
txlege,72398
Texas,303879
txlege,338691
Texas,146344
txlege,14381
txlege,29604
Texas,10057
texasstrong,708
TexasFreeze,13124
SmartNews,3291
txlege,16288
txlege,3493
txlege,4225
WinterStorms,604
Texas,604
txlege,2486
txlege,16288
AnnRichards,18587
Texas,1123
TexasFreeze,32368
Texas,92398
txlege,582812
Texas,11063
Texas,36299
BREAKING,347055
TexasFreeze,11310
Cancun,527
Texas,196983
TexasWinterStorm2021,56171
Texas,4948
TexasStrong,21
txlege,263610
Texas,204780
SmartNews,43702
Texas,36470
Texas,4747
Texas,293605
SmartNews,66053
Texas,172970
TexasStrong,8234
Texas,64879
Texas,9379
BREAKING,100609
RGV,4849
Texas,23649
BetoIsGood,103958
AbbottFailedTexas,103958
Texas,51717
Texas,16696
Texas,2
BREAKING,795122
TexasWinterStorm,7891
TexasWinterStorm,129946
Texas,34889
AustinWater,75570
TexasBlackout,75570
BringRealityHome,161126
FreeRealityWinner,161126
TexasWinterStorm,149
TexasWinterStorm,14333
Texas,43938
texas,86778
TexasWinterStorm,210387
TexasBlackout,36393
SmartNews,312376
Texas,25
"Cancun,Texas",404333
Texas,27864
Texas,65842
TexasBlackout,73426
FakePresidentBiden,11802
TexasFreeze,11802
SmokingGun,11802
Texas,27864
onmyway,259794
Cummins,259794
Texas,259795
TexasBlackout,59936
AustinPowerOutage,223087
TexasPowerGrid,223087
Texas,56
BREAKING,85175
"TexasPowerGrid,AustinPowerOutage",186216
TexasWinterStorm,20844
Texas,339
Texas,46396
Texas,12803
TexasBlackout,233069
AustinPowerOutage,305231
TexasPowerGrid,305231
Texas,101505
Texas,12804
Texas,1025670
AustinPowerOutage,223088
TexasPowerGrid,223088
RGV,13345
Texas,389507
Texas,33440
Texas,225166
texaspowerfail,62128
TexasFreeze,51186
TexasStrong,73403
Texas,65208
texaspowerfail,427530
TexasFreeze,11802
FakePresidentBiden,11802
SmokingGun,11802
Texas,539
TexasBlackout,613009
TexasWinterStorm2021,35774
TexasStrong,60412
TexasWinterStorm,304300
