FID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,SHAPE_Length,SHAPE_Area
1,29,7,Atascosa,San Antonio,7,48013,7,15,Y,Y,Y,2.27361117052151,0.291800631642301
2,30,158,Matagorda,Yoakum,161,48321,158,13,N,N,N,8.74746132061925,0.272799643527538
3,31,120,Jackson,Yoakum,120,48239,121,13,N,Y,Y,2.9895321572283,0.203835034015565
4,32,62,De Witt,Yoakum,62,48123,62,13,N,N,N,2.06555851835458,0.218449427756841
5,33,247,Wilson,San Antonio,247,48493,247,15,Y,Y,Y,1.91717635586067,0.193944129668344
6,34,136,Kinney,Laredo,136,48271,136,22,N,N,N,2.431028469651,0.328233145722516
7,35,232,Uvalde,San Antonio,232,48463,232,15,N,N,N,2.47566656284518,0.376204076901742
8,36,143,Lavaca,Yoakum,143,48285,143,13,N,N,N,1.92838487370288,0.233736969317406
9,37,20,Brazoria,Houston,20,48039,20,12,Y,Y,Y,8.45000049918581,0.34286990076586
10,38,241,Wharton,Yoakum,241,48481,241,13,N,N,N,2.46735388395822,0.263143183828965
11,39,163,Medina,San Antonio,163,48325,163,15,Y,Y,Y,2.49700012685015,0.321765700102464
12,40,84,Galveston,Houston,84,48167,85,12,Y,Y,Y,9.3502498957904,0.0963206247724265
13,41,15,Bexar,San Antonio,15,48029,15,15,Y,Y,Y,2.72979169802083,0.30284573309718
14,42,89,Gonzales,Yoakum,89,48177,90,13,N,Y,Y,2.12491109843536,0.257804943602916
15,43,79,Fort Bend,Houston,79,48157,80,12,Y,Y,Y,2.51797860819306,0.213479891587576
16,44,94,Guadalupe,San Antonio,94,48187,95,15,Y,Y,Y,2.38821102833929,0.172719430478467
17,45,10,Bandera,San Antonio,10,48019,10,15,Y,Y,Y,2.12084345037661,0.192677550011771
18,46,45,Colorado,Yoakum,45,48089,45,13,N,N,N,2.36117443874535,0.234963273004999
19,47,36,Chambers,Beaumont,36,48071,36,20,Y,Y,Y,3.95463760868259,0.152677718414421
20,48,46,Comal,San Antonio,46,48091,46,15,Y,Y,Y,1.9490371003944,0.139000633233289
21,49,193,Real,San Angelo,193,48385,193,7,N,N,N,1.86744147337545,0.169204965389272
22,50,28,Caldwell,Austin,28,48055,28,14,Y,Y,Y,1.87038642464758,0.132116412369491
23,51,130,Kendall,San Antonio,130,48259,131,15,Y,N,N,1.60634361275311,0.160452898781716
24,52,8,Austin,Yoakum,8,48015,8,13,Y,Y,Y,2.48168991476525,0.158727327790968
25,53,75,Fayette,Yoakum,75,48149,76,13,N,N,N,2.03901972642212,0.232060588087798
26,54,101,Harris,Houston,101,48201,102,12,Y,Y,Y,7.73111185063718,0.422798554244316
27,55,69,Edwards,San Angelo,69,48137,70,7,N,N,N,3.37030040478625,0.513424303171661
28,56,133,Kerr,San Antonio,133,48265,133,15,N,N,N,2.58999945038117,0.268287431762728
29,57,233,Val Verde,Laredo,233,48465,233,22,N,N,N,4.41738171854202,0.781933866695255
30,58,237,Waller,Houston,237,48473,237,12,Y,Y,Y,2.4351996797651,0.12542425867732
31,59,123,Jefferson,Beaumont,123,48245,124,20,Y,Y,Y,5.23021886446241,0.231656221170201
32,60,105,Hays,Austin,105,48209,106,14,Y,Y,Y,1.80322687370217,0.164423026375658
33,1,31,Cameron,Pharr,31,48061,31,21,Y,Y,Y,6.77649225627992,0.237848508920509
34,2,245,Willacy,Pharr,245,48489,245,21,N,N,N,3.32417017002543,0.155451157194943
35,3,214,Starr,Pharr,214,48427,214,21,N,N,N,2.60037588215209,0.28849243202357
36,4,108,Hidalgo,Pharr,108,48215,109,21,Y,Y,Y,3.3102105253216,0.370852369398275
37,5,24,Brooks,Pharr,24,48047,24,21,N,N,N,2.05681559758165,0.222310637507989
38,6,131,Kenedy,Pharr,131,48261,66,21,N,N,N,5.06786543403313,0.389397530037012
39,7,253,Zapata,Pharr,253,48505,253,21,N,N,N,2.24698242522378,0.249215131614828
40,8,124,Jim Hogg,Pharr,124,48247,125,21,N,N,N,2.27175181422536,0.267624246394897
41,9,137,Kleberg,Corpus Christi,137,48273,137,16,N,N,N,4.44494000769653,0.213851169748525
42,10,178,Nueces,Corpus Christi,178,48355,178,16,Y,Y,Y,9.8146553975325,0.203472440840495
43,11,66,Duval,Laredo,66,48131,67,22,N,N,N,2.76954551935718,0.425467199592854
44,12,125,Jim Wells,Corpus Christi,125,48249,126,16,N,N,N,2.4270150096134,0.205830728664683
45,13,205,San Patricio,Corpus Christi,205,48409,205,16,Y,Y,Y,3.46210665273794,0.16765379360632
46,14,240,Webb,Laredo,240,48479,240,22,Y,Y,Y,4.76142143636554,0.799982130381279
47,15,4,Aransas,Corpus Christi,4,48007,4,16,Y,N,N,6.1253510864005,0.0671183504278165
48,16,196,Refugio,Corpus Christi,196,48391,196,16,N,N,N,3.32671017192414,0.185681780859936
49,17,64,Dimmit,Laredo,64,48127,64,22,N,N,N,2.32466436488719,0.314454504105099
50,18,142,La Salle,Laredo,142,48283,142,22,N,N,N,2.40257958275727,0.358902698128611
51,19,162,McMullen,San Antonio,156,48311,162,15,N,N,N,2.11890920935612,0.277594650855242
