Category: All categories

Week,Electric Reliability Council of Texas: (Texas)
2020-11-01,<1
2020-11-08,<1
2020-11-15,<1
2020-11-22,0
2020-11-29,<1
2020-12-06,<1
2020-12-13,<1
2020-12-20,<1
2020-12-27,<1
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,<1
2021-01-31,<1
2021-02-07,1
2021-02-14,100
2021-02-21,13
2021-02-28,6
2021-03-07,2
2021-03-14,2
2021-03-21,1
2021-03-28,<1
2021-04-04,1
2021-04-11,4
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,<1
2021-05-16,<1
2021-05-23,1
2021-05-30,<1
2021-06-06,1
2021-06-13,22
2021-06-20,3
2021-06-27,2
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,<1
2021-08-08,<1
2021-08-15,<1
2021-08-22,1
2021-08-29,<1
2021-09-05,<1
2021-09-12,1
2021-09-19,1
2021-09-26,1
2021-10-03,<1
2021-10-10,<1
2021-10-17,1
2021-10-24,1
