timestamp,newstext,link
2021-02-14 21:02:00.000,Icy weather chills Texas wind energy as deep freeze grips much of U.S.,https://www.reuters.com/business/environment/icy-weather-chills-texas-wind-energy-deep-freeze-grips-much-us-2021-02-15/
2021-02-15 03:32:00.000,Texas grid operator starts rotating blackouts amid winter storm,https://www.reuters.com/business/environment/texas-grid-operator-starts-rotating-blackouts-amid-winter-storm-2021-02-15/
2021-02-15 07:19:00.000,Column: Funds bought U.S. crude ahead of big freeze: John Kemp,https://www.reuters.com/business/energy/funds-bought-us-crude-ahead-big-freeze-john-kemp-2021-02-15/
2021-02-15 08:15:00.000,"Texas wholesale electric prices spike more than 10,000% amid outages",https://www.reuters.com/business/energy/texas-wholesale-electric-prices-spike-more-than-10000-amid-outages-2021-02-15/
2021-02-15 12:52:00.000,Oil refineries shut as Texas energy industry reels from deep freeze,https://www.reuters.com/business/energy/oil-refineries-shut-texas-energy-industry-reels-deep-freeze-2021-02-15/
2021-02-15 14:06:00.000,"U.S. oil wells, refineries shut as winter storm hits energy sector",https://www.reuters.com/business/energy/us-oil-wells-refineries-shut-winter-storm-hits-energy-sector-2021-02-15/
2021-02-15 20:05:00.000,"U.S. oil prices climb on Texas cold snap, Brent stable",https://www.reuters.com/business/energy/us-oil-prices-climb-texas-cold-snap-brent-stable-2021-02-16/
2021-02-15 20:39:00.000,"Cold snap leaves one dead, over 4 million without power in Texas",https://www.reuters.com/business/environment/cold-snap-leaves-8-million-texas-mexico-without-power-2021-02-16/
2021-02-15 21:30:00.000,Power cuts hit 4.7 mln users in northern Mexico after cold snap,https://www.reuters.com/business/environment/power-cuts-hit-47-mln-users-northern-mexico-after-cold-snap-2021-02-15/
2021-02-16 05:47:00.000,Houston ship channel operations suspended due to Texas freeze,https://www.reuters.com/business/environment/houston-ship-channel-operations-suspended-due-texas-freeze-2021-02-16/
2021-02-16 08:45:00.000,"Occidental, Pioneer Natural push back quarterly earnings on winter storm hit",https://www.reuters.com/business/occidental-pioneer-natural-push-back-quarterly-earnings-winter-storm-hit-2021-02-16/
2021-02-16 15:13:00.000,"Texas deep freeze leaves millions without power, some snowboarding behind pickups",https://www.reuters.com/business/environment/texas-deep-freeze-leaves-millions-without-power-some-snowboarding-behind-pickups-2021-02-16/
2021-02-16 15:40:00.000,Explainer: Texas's one-of-a-kind power system raises questions during price spike,https://www.reuters.com/business/energy/texass-one-of-a-kind-power-system-raises-questions-during-price-spike-2021-02-16/
2021-02-16 18:36:00.000,"Texas deep freeze leaves millions without power, 21 dead",https://www.reuters.com/business/environment/texas-deep-freeze-leaves-millions-without-power-21-dead-2021-02-17/
2021-02-16 21:08:00.000,"Oil retreats on rising U.S. dollar, though Texas supply choked",https://www.reuters.com/business/energy/oil-retreats-rising-us-dollar-though-texas-supply-choked-2021-02-17/
2021-02-16 21:17:00.000,"From FedEx to GM, firms halt operations as freeze grips parts of United States",https://www.reuters.com/business/fedex-gm-firms-halt-operations-freeze-grips-parts-united-states-2021-02-17/
2021-02-16 21:55:00.000,"Texas deep freeze hits energy sector, Houston ship channel shut",https://www.reuters.com/business/energy/texas-deep-freeze-hits-energy-sector-houston-ship-channel-shut-2021-02-16/
2021-02-16 22:01:00.000,Texas freeze hits northern Mexico with $2.7 billion blackout,https://www.reuters.com/business/energy/northern-mexico-suffers-second-day-power-outages-after-texas-frost-2021-02-16/
2021-02-16 22:04:00.000,Oil settles near 13-month highs; Texas deep freeze supports,https://www.reuters.com/world/middle-east-africa/oil-settles-near-13-month-highs-texas-deep-freeze-supports-2021-02-16/
2021-02-16 22:11:00.000,"Tornadoes, historic cold across U.S. kill seven, disrupt COVID-19 vaccinations",https://www.reuters.com/business/environment/tornadoes-historic-cold-across-us-kill-seven-disrupt-covid-19-vaccinations-2021-02-16/
2021-02-16 23:27:00.000,Japan’s stressed power grid faces new test with Arctic blast on way,https://www.reuters.com/business/energy/japans-stressed-power-grid-faces-new-test-with-arctic-blast-way-2021-02-17/
2021-02-16 23:37:00.000,Oil jumps $1/bbl as Texas freeze prompts U.S. output drop,https://www.reuters.com/business/energy/oil-jumps-1bbl-texas-freeze-prompts-us-output-drop-2021-02-17/
2021-02-17 00:11:00.000,U.S. shale could face weeks of depressed oil production due to cold,https://www.reuters.com/business/energy/us-shale-could-face-weeks-depressed-oil-production-due-cold-2021-02-17/
2021-02-17 02:07:00.000,"‘Ice everywhere’ as Texans brave cold, 2.7 million homes lack power",https://www.reuters.com/world/us/ice-everywhere-texans-brave-cold-27-million-homes-lack-power-2021-02-18/
2021-02-17 02:32:00.000,Texas power prices spike as deadly cold wave overwhelms grid,https://www.reuters.com/business/energy/texas-power-prices-spike-deadly-cold-wave-overwhelms-grid-2021-02-17/
